"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Граничные значения для расстояния более 30 км","1","Граничные значения расстояния более 30 км [2] distance=50.00","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты расчёта стоимости по расстоянию","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$DistanceBasedCostTests","shouldCalculateCorrectlyForBoundaryDistancesOver30Km"
"Комплексные сценарии с различными комбинациями параметров","1","Проверка комплексных сценариев [3] distance=15.00, cargoSize=LARGE, isFragile=false, workloadLevel=HIGH, expectedCost=560.00","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Комплексные тестовые сценарии","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$ComplexScenariosTests","shouldCalculateComplexScenarios"
"Комплексные сценарии с различными комбинациями параметров","2","Проверка комплексных сценариев [6] distance=30.00, cargoSize=LARGE, isFragile=true, workloadLevel=VERY_HIGH, expectedCost=1120.00","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Комплексные тестовые сценарии","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$ComplexScenariosTests","shouldCalculateComplexScenarios"
"Хрупкий груз нельзя возить на расстояние более 30 км","2","Исключение при доставке хрупкого груза на расстояние > 30 км","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты обработки хрупких грузов","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$FragileCargoTests","shouldThrowExceptionForFragileCargoOverMaxDistance"
"Проверка коэффициента при нормальной загруженности","1","Нормальная загруженность - коэффициент 1.0","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты коэффициентов загруженности службы","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$DeliveryWorkloadTests","shouldApplyNormalWorkloadCoefficient"
"Хрупкий груз можно возить на расстояние ровно 30 км","1","Доставка хрупкого груза на расстояние 30 км разрешена","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты обработки хрупких грузов","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$FragileCargoTests","shouldAllowFragileCargoAtMaxDistance"
"Комплексные сценарии с различными комбинациями параметров","2","Проверка комплексных сценариев [5] distance=50.00, cargoSize=LARGE, isFragile=false, workloadLevel=VERY_HIGH, expectedCost=800.00","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Комплексные тестовые сценарии","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$ComplexScenariosTests","shouldCalculateComplexScenarios"
"Комплексные сценарии с различными комбинациями параметров","44","Проверка комплексных сценариев [1] distance=1.00, cargoSize=SMALL, isFragile=false, workloadLevel=NORMAL, expectedCost=400.00","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Комплексные тестовые сценарии","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$ComplexScenariosTests","shouldCalculateComplexScenarios"
"Проверка коэффициента при очень высокой загруженности","1","Очень высокая загруженность - коэффициент 1.6","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты коэффициентов загруженности службы","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$DeliveryWorkloadTests","shouldApplyVeryHighWorkloadCoefficient"
"null загрузка должна вызывать исключение","2","Исключение при null загрузке","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Валидация входных данных","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$ValidationTests","shouldThrowExceptionForNullDeliveryWorkload"
"Проверка расчёта для расстояния до 10 км","5","Расстояние до 10 км - базовая стоимость 100 рублей","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты расчёта стоимости по расстоянию","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$DistanceBasedCostTests","shouldCalculateCostForDistanceUpTo10Km"
"Проверка коэффициента при высокой загруженности","2","Высокая загруженность - коэффициент 1.4","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты коэффициентов загруженности службы","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$DeliveryWorkloadTests","shouldApplyHighWorkloadCoefficient"
"Максимально возможная стоимость","2","Максимальная стоимость: дальнее расстояние + большой хрупкий груз + максимальная загруженность","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Комплексные тестовые сценарии","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$ComplexScenariosTests","shouldCalculateMaximumPossibleCost"
"Проверка доплаты за большой груз","1","Большой груз добавляет 200 рублей","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Тесты влияния габаритов груза на стоимость","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$CargoSizeTests","shouldAddLargeCargoSurcharge"
"Комплексные сценарии с различными комбинациями параметров","2","Проверка комплексных сценариев [8] distance=10.00, cargoSize=SMALL, isFragile=false, workloadLevel=VERY_HIGH, expectedCost=400.00","","Wed Aug 06 12:04:31 UTC 2025","passed","Wed Aug 06 12:04:31 UTC 2025","","Комплексные тестовые сценарии","ru.yandex.practicum.bystritskiy.DeliveryCalculatorTest$ComplexScenariosTests","shouldCalculateComplexScenarios"
